[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 10.135371 seconds
[LightGBM] [Warning] Auto-choosing row-wise multi-threading, the overhead of testing was 0.327163 seconds.
You can set `force_row_wise=true` to remove the overhead.
And if memory is not enough, you can set `force_col_wise=true`.
[LightGBM] [Info] Total Bins 25646
[LightGBM] [Info] Number of data points in the train set: 2270296, number of used features: 136
[LightGBM] [Info] Finished initializing training
[LightGBM] [Info] Started training...
[LightGBM] [Info] Iteration:1, valid_1 ndcg@1 : 0.410197
[LightGBM] [Info] Iteration:1, valid_1 ndcg@3 : 0.405364
[LightGBM] [Info] Iteration:1, valid_1 ndcg@5 : 0.414466
[LightGBM] [Info] Iteration:1, valid_1 ndcg@10 : 0.438484
[LightGBM] [Info] 0.398696 seconds elapsed, finished iteration 1
[LightGBM] [Info] Iteration:2, valid_1 ndcg@1 : 0.436999
[LightGBM] [Info] Iteration:2, valid_1 ndcg@3 : 0.429832
[LightGBM] [Info] Iteration:2, valid_1 ndcg@5 : 0.437303
[LightGBM] [Info] Iteration:2, valid_1 ndcg@10 : 0.458026
[LightGBM] [Info] 0.816208 seconds elapsed, finished iteration 2
[LightGBM] [Info] Iteration:3, valid_1 ndcg@1 : 0.449619
[LightGBM] [Info] Iteration:3, valid_1 ndcg@3 : 0.440132
[LightGBM] [Info] Iteration:3, valid_1 ndcg@5 : 0.446043
[LightGBM] [Info] Iteration:3, valid_1 ndcg@10 : 0.466164
[LightGBM] [Info] 1.201338 seconds elapsed, finished iteration 3
[LightGBM] [Info] Iteration:4, valid_1 ndcg@1 : 0.45698
[LightGBM] [Info] Iteration:4, valid_1 ndcg@3 : 0.444242
[LightGBM] [Info] Iteration:4, valid_1 ndcg@5 : 0.449763
[LightGBM] [Info] Iteration:4, valid_1 ndcg@10 : 0.469666
[LightGBM] [Info] 1.576279 seconds elapsed, finished iteration 4
[LightGBM] [Info] Iteration:5, valid_1 ndcg@1 : 0.460707
[LightGBM] [Info] Iteration:5, valid_1 ndcg@3 : 0.448356
[LightGBM] [Info] Iteration:5, valid_1 ndcg@5 : 0.452725
[LightGBM] [Info] Iteration:5, valid_1 ndcg@10 : 0.472124
[LightGBM] [Info] 1.976445 seconds elapsed, finished iteration 5
[LightGBM] [Info] Iteration:6, valid_1 ndcg@1 : 0.462103
[LightGBM] [Info] Iteration:6, valid_1 ndcg@3 : 0.450618
[LightGBM] [Info] Iteration:6, valid_1 ndcg@5 : 0.454968
[LightGBM] [Info] Iteration:6, valid_1 ndcg@10 : 0.474584
[LightGBM] [Info] 2.380979 seconds elapsed, finished iteration 6
[LightGBM] [Info] Iteration:7, valid_1 ndcg@1 : 0.463296
[LightGBM] [Info] Iteration:7, valid_1 ndcg@3 : 0.451997
