[LightGBM] [Info] Finished loading parameters
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Loading query boundaries...
[LightGBM] [Info] Finished loading data in 8.009653 seconds
[LightGBM] [Warning] Auto-choosing col-wise multi-threading, the overhead of testing was 0.742703 seconds.
You can set `force_col_wise=true` to remove the overhead.
[LightGBM] [Info] Total Bins 83545
[LightGBM] [Info] Number of data points in the train set: 473134, number of used features: 519
[LightGBM] [Info] Finished initializing training
[LightGBM] [Info] Started training...
[LightGBM] [Warning] No further splits with positive gain, best gain: -inf
[LightGBM] [Info] Iteration:1, valid_1 ndcg@1 : 0.669107
[LightGBM] [Info] Iteration:1, valid_1 ndcg@3 : 0.668307
[LightGBM] [Info] Iteration:1, valid_1 ndcg@5 : 0.691676
[LightGBM] [Info] Iteration:1, valid_1 ndcg@10 : 0.740679
[LightGBM] [Info] 0.237634 seconds elapsed, finished iteration 1
[LightGBM] [Info] Iteration:2, valid_1 ndcg@1 : 0.681912
[LightGBM] [Info] Iteration:2, valid_1 ndcg@3 : 0.680018
[LightGBM] [Info] Iteration:2, valid_1 ndcg@5 : 0.702108
[LightGBM] [Info] Iteration:2, valid_1 ndcg@10 : 0.749828
[LightGBM] [Info] 0.550424 seconds elapsed, finished iteration 2
[LightGBM] [Info] Iteration:3, valid_1 ndcg@1 : 0.687335
[LightGBM] [Info] Iteration:3, valid_1 ndcg@3 : 0.686295
[LightGBM] [Info] Iteration:3, valid_1 ndcg@5 : 0.707225
[LightGBM] [Info] Iteration:3, valid_1 ndcg@10 : 0.754241
[LightGBM] [Info] 0.869865 seconds elapsed, finished iteration 3
[LightGBM] [Info] Iteration:4, valid_1 ndcg@1 : 0.69022
[LightGBM] [Info] Iteration:4, valid_1 ndcg@3 : 0.688899
[LightGBM] [Info] Iteration:4, valid_1 ndcg@5 : 0.709682
[LightGBM] [Info] Iteration:4, valid_1 ndcg@10 : 0.75709
[LightGBM] [Info] 1.304842 seconds elapsed, finished iteration 4
[LightGBM] [Info] Iteration:5, valid_1 ndcg@1 : 0.691733
[LightGBM] [Info] Iteration:5, valid_1 ndcg@3 : 0.69152
[LightGBM] [Info] Iteration:5, valid_1 ndcg@5 : 0.713591
[LightGBM] [Info] Iteration:5, valid_1 ndcg@10 : 0.75997
[LightGBM] [Info] 1.649933 seconds elapsed, finished iteration 5
[LightGBM] [Info] Iteration:6, valid_1 ndcg@1 : 0.694492
[LightGBM] [Info] Iteration:6, valid_1 ndcg@3 : 0.69385
[LightGBM] [Info] Iteration:6, valid_1 ndcg@5 : 0.715985
[LightGBM] [Info] Iteration:6, valid_1 ndcg@10 : 0.76236
[LightGBM] [Info] 1.983616 seconds elapsed, finished iteration 6
[LightGBM] [Info] Iteration:7, valid_1 ndcg@1 : 0.697985
